15.0,30.0,400,400.0,1000.0,28839941,0,0,0,400
17.0,34.0,400,400.0,1000.0,28634298,0,0,0,400
19.0,38.0,400,398.0,1000.0,28649969,0,0,0,400
21.0,42.0,400,398.0,1000.0,28658233,0,0,0,400
23.0,46.0,400,398.0,1000.0,28651130,0,0,0,400
25.0,50.0,400,398.0,1000.0,28700262,0,0,0,400
27.0,54.0,400,0.0,1000.0,33661121,0,0,0,400
29.0,58.0,400,0.0,1000.0,34368901,0,0,0,400
31.0,62.0,400,0.0,1000.0,33964217,0,0,0,400
33.0,66.0,400,0.0,1000.0,34054283,0,0,0,400
35.0,70.0,400,0.0,1000.0,34150616,0,0,0,400
37.0,74.0,400,0.0,750.129,25367984,262,2839555.5605610306,50524,400
39.0,78.0,400,0.0,561.563,18267702,458,1269843.026753992,22559,400
41.0,82.0,400,0.0,470.938,13410413,551,923349.4984274594,15238,400
43.0,86.0,400,0.0,356.741,9809653,668,608613.8681500031,10074,400
45.0,90.0,400,0.0,308.685,8486679,716,514550.76918038906,8506,400
47.0,94.0,400,0.0,210.298,5815537,816,335840.4947710688,5544,400
49.0,98.0,400,0.0,104.518,2912873,923,172124.27198072855,2850,400
51.0,102.0,400,0.0,61.307,1729357,966,111242.59732828228,1360,400
53.0,106.0,400,0.0,35.244,1016703,990,70583.55096062025,838,400
55.0,110.0,400,0.0,30.562,889154,992,62663.007901810626,713,400
57.0,114.0,400,0.0,20.303,599373,1000,43399.16276306669,418,400
59.0,118.0,400,0.0,17.724,528047,1000,38150.3998199893,367,400
61.0,122.0,400,0.0,14.549,437670,1000,31766.543113796946,305,400
63.0,126.0,400,0.0,12.537,397157,1000,27684.980733160817,266,400
65.0,130.0,400,0.0,9.565,331826,1000,21791.304526988522,209,400
67.0,134.0,400,0.0,8.092,289028,1000,18800.75307205236,180,400
69.0,138.0,400,0.0,6.172,220652,1000,14839.532456273035,142,400
71.0,142.0,400,0.0,4.809,179552,1000,12655.268298024681,114,400
73.0,146.0,400,0.0,3.292,133975,1000,9304.796283637575,86,400
75.0,150.0,400,0.0,2.59,115142,1000,8960.183979745456,81,400
